d1_min,d2_min,liquidity_min,n,drop5_4w,drop10_8w,drop10_13w,drop10_26w,drop15_26w,drop20_26w,avg_fwd_dd_26w,median_fwd_dd_26w
30,3,70,17,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.0,0.0,-0.033508524198936095,-0.031272041659674676
40,3,70,12,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,-0.012670515666352319,-0.016140445427291206
40,5,70,11,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,-0.010415446520723359,-0.0158313204694005
40,7,70,9,0.0,0.0,0.0,0.0,0.0,0.0,-0.002785232446580071,-0.007915162362000405
40,9,70,9,0.0,0.0,0.0,0.0,0.0,0.0,-0.002785232446580071,-0.007915162362000405
50,3,70,8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011544714437275172,-0.004520249327004677
50,5,70,8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011544714437275172,-0.004520249327004677
50,7,70,8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011544714437275172,-0.004520249327004677
50,9,70,8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011544714437275172,-0.004520249327004677
40,11,70,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0019603994622115406,-0.0011253362920089494
50,11,70,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0019603994622115406,-0.0011253362920089494
60,3,70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0076175057965326195,0.006952415154481084
60,5,70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0076175057965326195,0.006952415154481084
60,7,70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0076175057965326195,0.006952415154481084
60,9,70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0076175057965326195,0.006952415154481084
60,11,70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0076175057965326195,0.006952415154481084
