,NTSX,Platinum,F-TAA Weekly,SPY
2021-08-06,130611.34243144673,136489.65831331394,107927.43243047684,147621.29515619474
2021-08-09,130281.61973855694,136355.0591078221,107583.26501446925,147501.2030368458
2021-08-10,130651.73227553537,135688.0477093064,108068.00757038908,147684.68779318614
2021-08-11,131167.86121363638,135731.1476524373,108572.83590987563,148051.65730586677
2021-08-12,131214.16176661602,136269.43378384455,108632.41564476436,148495.36729840044
2021-08-13,131732.62579958755,137077.52794605255,108619.28052200878,148765.59380013854
2021-08-16,131785.63975031997,137273.53710818497,108488.5347322829,149115.86889264063
2021-08-17,130829.8562311277,135952.0982291374,107456.71367981024,148138.39905126457
2021-08-18,129926.75828995164,135075.8986231989,106478.74560420742,146517.00157443
2021-08-19,129904.50191696694,135602.97143366036,105916.00544087228,146743.87643667217
2021-08-20,130607.1100719939,137541.84911958396,106124.73874797918,147911.52418902237
2021-08-23,131743.27966993433,139841.29031616935,107521.63584956709,149212.65036998913
2021-08-24,131797.27873881525,140233.9965127025,108079.00505995775,149449.4880313701
2021-08-25,131613.75487633483,140234.77005193543,108415.85001932226,149763.10463901007
2021-08-26,131077.9600611211,139282.21956898554,107708.83330254599,148879.03123125964
2021-08-27,132785.3157559067,141098.4956817026,108829.94575301289,150210.16120886066
2021-08-30,133459.28251291235,142672.53612094847,109342.12538484365,150870.7063316858
2021-08-31,132337.7072579127,142558.95435994046,109218.9483133555,150647.17804676053
2021-09-01,132545.74961653363,142862.58408888947,109303.11193865417,150727.26510393043
2021-09-02,133246.4240211209,142615.55691489144,109657.93124172554,151190.97762755366
2021-09-03,132498.90177569372,143224.21566367368,109732.40438942604,151154.28067628556
2021-09-07,131646.40971866486,143125.29669049566,109414.25936773593,150613.82767280936
2021-09-08,131729.85287442882,142528.11078457272,109166.05795041176,150430.34291646903
2021-09-09,131898.27159196552,141982.81781760528,108796.79466719618,149786.4537474165
2021-09-10,130694.092355921,140349.751700598,108118.04542865934,148605.4196857987
2021-09-13,131750.46738383267,140334.19101339212,108399.03630629863,148985.77550774693
2021-09-14,131442.67269121142,139784.81152552663,107844.4521326084,148181.75069076047
2021-09-15,132429.90701944113,141136.47412744313,108813.85494958692,149419.48423473586
2021-09-16,132031.66388644432,140922.00703775848,108597.4529540698,149182.64657335484
2021-09-17,130742.0347724815,138988.68994977174,107447.05287067775,147729.42422329597
2021-09-20,129082.73095182845,135053.81741551464,105478.21249055571,145266.15098602863
2021-09-21,129012.96999257148,135223.73078275606,105540.11258624296,145128.94131603575
2021-09-22,130748.60222680484,136898.08171711827,106620.98540344182,146544.65892030182
2021-09-23,131262.10418317653,138596.22332249663,107845.68726544784,148325.1534521099
2021-09-24,130883.7093565792,138872.8333099154,107942.5658257755,148569.45359624352
2021-09-27,131148.04939309426,137787.79297815743,107781.65757612503,148144.39981059142
2021-09-28,128029.89505207991,135301.92816495372,105576.78734912234,145159.06051188783
2021-09-29,128620.74702603776,135007.24273830294,105590.54237568768,145403.36065602145
2021-09-30,127213.41453625745,134746.78513290096,104673.78746117894,143626.2127015303
2021-10-01,128630.92658023896,135752.61287989095,105765.68820909706,145333.0825323666
2021-10-04,127403.03153691567,133509.84479801342,104621.39657557358,143458.88383568535
2021-10-05,128438.53665442202,134897.20933349617,105721.42887435092,144951.53425183415
2021-10-06,128486.88041541338,135245.96168361328,105896.99204956833,145553.9566352819
2021-10-07,129228.017635804,135688.8978066405,106991.50963718786,146812.34663924781
2021-10-08,128881.00064652938,135391.81586786496,106692.20555264296,146544.65892030182
2021-10-11,128244.50486502421,134771.64994341446,106181.6311900101,145483.716978033
2021-10-12,128727.4681587923,134488.6806866863,105989.38421325608,145125.59473871885
2021-10-13,129181.64411110966,135173.59664649479,106555.6064103401,145647.69926656102
2021-10-14,130729.52012340978,136402.88267422377,108273.9699409878,148097.5477281548
2021-10-15,131205.25921742214,136459.78548510745,108970.8444646915,149225.45968316757
2021-10-18,131562.56521847003,137016.39867544163,109395.65074377815,149667.2463554042
2021-10-19,131582.37703901215,137637.9327959949,110060.44160603218,150821.89246254624
2021-10-20,131723.83270796575,137715.02316354352,110412.7743635103,151414.27511404327
