,Combined_Equity
2021-05-03,354094.07262069895
2021-05-04,351235.12392792315
2021-05-05,351551.10262992146
2021-05-06,354372.80007441004
2021-05-07,357278.30229082704
2021-05-10,351432.9299702206
2021-05-11,350275.70224056154
2021-05-12,343271.66900956957
2021-05-13,345062.3388463967
2021-05-14,351220.9433781574
2021-05-17,350589.86859830795
2021-05-18,348712.2961023039
2021-05-19,347964.39778758364
2021-05-20,350665.7720340722
2021-05-21,350667.7846024589
2021-05-24,353932.18537679774
2021-05-25,353526.164680388
2021-05-26,354606.37192553026
2021-05-27,355180.0376055081
2021-05-28,355642.245444821
2021-06-01,356448.0498922658
2021-06-02,356919.39941485453
2021-06-03,354673.0049031415
2021-06-04,359110.20519751974
2021-06-07,358899.4452988767
2021-06-08,359304.5982628815
2021-06-09,358689.63284980564
2021-06-10,360088.868079631
2021-06-11,360404.500596264
2021-06-14,361692.19359396776
2021-06-15,360142.8883106055
2021-06-16,357673.8728592885
2021-06-17,357334.43736507586
2021-06-18,353570.8793231327
2021-06-21,356753.02052444115
2021-06-22,358752.0266286345
2021-06-23,359091.0481986867
2021-06-24,361801.08718507265
2021-06-25,361754.47140394157
2021-06-28,364347.0203391121
2021-06-29,364755.614630541
2021-06-30,365416.93587635807
2021-07-01,366005.29320537526
2021-07-02,369213.6660949008
2021-07-06,368765.3601015945
2021-07-07,368990.05386499234
2021-07-08,366444.66144207167
2021-07-09,369871.6487083351
2021-07-12,371106.60119522526
2021-07-13,370330.19776629657
2021-07-14,370825.5764095052
2021-07-15,368629.8346503544
2021-07-16,365113.93032139994
2021-07-19,360323.62270738865
2021-07-20,365500.48070362565
2021-07-21,369174.06303267117
2021-07-22,371045.4667220395
2021-07-23,374694.37056625285
2021-07-26,375524.8021425939
2021-07-27,372280.30099847866
2021-07-28,374020.85541287804
2021-07-29,375450.66485016624
2021-07-30,373743.25325232866
2021-08-02,373998.5861999043
2021-08-03,376081.9379208074
2021-08-04,375300.7460251234
2021-08-05,377644.58474413777
2021-08-06,375915.1763327127
2021-08-09,374925.3613091082
2021-08-10,374884.40153636073
2021-08-11,375826.98471082165
2021-08-12,376747.77264199057
2021-08-13,378388.23503339477
2021-08-16,378600.3897794338
2021-08-17,375101.9989542637
2021-08-18,372430.09419379756
2021-08-19,372725.90105266275
2021-08-20,375961.9048732887
2021-08-23,381205.6509121607
