,NTSX,Platinum Proxy-Aware,F-TAA Stitched,SPY
2008-09-23,92082.96786440462,101887.3001715415,91774.39077699522,79678.82533600011
2008-09-24,92311.1004873697,101466.51824708965,91636.1376774616,79934.19142746742
2008-09-25,93103.6138167758,101544.81538410416,92225.82286885053,81184.29403438383
2008-09-26,93343.74815598631,101536.0486723415,92207.20872077558,81224.63607078577
2008-09-29,90366.42239840298,101930.19571845687,90237.02863306676,74859.80391568014
2008-09-30,92237.89001827262,100815.42247132161,91494.21592484319,77958.23247824232
2008-10-01,92663.95094498515,101156.43921680136,91434.43605750761,78005.28150332648
2008-10-02,91353.86360249517,99720.01874066857,90229.64105310128,75175.63300959601
2008-10-03,90734.67505853338,99661.1830188308,89931.44331165563,74160.77552810029
2008-10-06,89842.74751289433,100050.30410700584,89578.40584484371,70383.53964831354
2008-10-07,86851.51976732674,100814.85994395499,88521.44124071745,67231.25496767632
2008-10-08,85060.46364630142,101556.68323024712,87990.8350646385,65537.59016895606
2008-10-09,80944.47505993357,101550.15474506679,86426.1703523215,60960.52086273897
2008-10-10,80972.47906450622,99337.34957462866,86050.9076201089,59481.88011908408
2008-10-13,86525.6731712635,99307.52595543336,88512.6011172164,68118.47945559272
2008-10-14,85272.39395233519,99360.73340236481,88012.8559468977,67110.32896277923
2008-10-15,81223.51496263966,99340.5479218404,86266.41064324102,60503.44458926201
2008-10-16,83324.51540570303,98063.48627104778,87009.03572312485,63023.87087345014
2008-10-17,82534.20239094191,97306.7597397553,86302.80665237312,62647.47867277703
2008-10-20,85321.30094603528,97892.40175463074,87827.99554480256,66411.30057519936
2008-10-21,84416.07149822425,96704.49873346776,87013.877093289,64428.63463729207
2008-10-22,83129.68754531899,94984.33080557673,85833.50561321425,60920.17882633705
2008-10-23,83696.56860931114,94514.53593914595,86188.23227719073,61625.91420259912
2008-10-24,81658.77720514033,95000.76127280676,85224.51276828354,58500.557580999404
2008-10-27,79732.50174774994,94910.94505414108,84122.35380675003,56423.79359292383
2008-10-28,84135.03130947726,96093.86946358088,86510.30835165757,63017.163884767935
2008-10-29,83211.99931590218,96179.20246367133,85966.86072964285,62560.187715599655
2008-10-30,84955.24860054988,95840.2111141292,86638.79825565734,64724.342765161295
2008-10-31,85523.22982186453,95284.01739952498,86889.4144479395,65080.51389547909
2008-11-03,85789.86795111702,95262.66345030819,86880.31856569406,65268.70999581565
2008-11-04,87564.22168370077,96756.95469620328,88290.12624001967,67486.72116345231
2008-11-05,85787.06755065975,95677.836328939,87243.47773370295,64650.36568103964
2008-11-06,83159.69183593255,95361.0603538242,86263.09996754807,61068.032890271665
2008-11-07,84445.67573162963,95559.60567382735,87172.2258979269,63084.333875898694
2008-11-10,83587.75304868596,95843.83714571536,86743.21167008349,62257.67249473953
2008-11-11,82474.79389552705,95265.55483109903,86165.47804094577,60335.46955928078
2008-11-12,80620.62874991124,94399.08295918383,85212.33809160393,57680.60318852244
2008-11-13,82993.86812314161,95383.9645972211,86787.03391178387,61276.45006096353
2008-11-14,80577.8226286359,95498.61958772512,85461.26553455387,58218.263430494575
2008-11-17,80125.75798339164,95202.25428189643,85170.80825160342,57445.35806310176
2008-11-18,81211.51324639424,95141.39906703123,85214.15313108433,58527.485640036924
2008-11-19,78675.05053222612,94832.0803410948,83852.49094621948,54777.07771497901
2008-11-20,76769.37802105701,94979.32925648289,82684.48843496006,50710.840696005245
2008-11-21,78705.85493725602,96908.6324594624,84319.91825070888,53446.29103525874
2008-11-24,80993.98213944594,97803.41301336396,85382.46493795322,57149.64993523252
2008-11-25,82106.94129260485,97786.48561567024,85487.48848508825,57573.09116098975
2008-11-26,84253.04818589058,97863.17160439899,86113.5010251124,59797.70921299995
2008-11-28,85375.30866913969,97796.82081836584,86057.49595910063,60550.49361434616
2008-12-01,81855.30530865914,96061.42853474896,84325.47261350528,55187.104963371836
2008-12-02,84061.420783172,96698.88461710788,85463.95044546422,57310.91797653155
2008-12-03,85593.63989050435,96585.50671060875,85877.27792229394,58688.75368133596
2008-12-04,85177.78042260044,96202.17573961504,85419.51625666038,57331.139046886856
2008-12-05,86764.50732454742,96032.88290729893,86068.58686562254,59098.780929728775
2008-12-08,88034.68896052135,96852.72338322506,86637.40212127841,61162.13094043994
2008-12-09,87822.9586830917,96929.73915521569,86473.02138211865,60153.98044762643
2008-12-10,87838.66092851278,98212.41449876549,86880.40931884733,60564.00769601926
2008-12-11,86099.71225885302,98387.23909060936,86400.11026609024,59105.487918410996
2008-12-12,87009.04229304791,98568.07746388273,86764.44889258179,59811.22329467306
2008-12-15,86237.83200997743,99118.59744359195,86550.79249441877,58977.75482052299
2008-12-16,89471.49442370259,100009.25613600815,87796.34371619509,61753.647300487115
2008-12-17,89890.8543921781,100256.49502647363,87730.76585423057,61155.42395175774
2008-12-18,89735.63219540396,99620.25464841556,87073.0382961267,60012.83337237402
2008-12-19,89956.86383152791,99255.88846934424,87037.22953278973,59754.6643602634
