Date,SPY Buy & Hold,System E Original,R3 Vol-Adjusted,R7 Full Kelly,A: Calmar blend Sys80/R320,C: Regime-switch SysE<->R7 (BearScore),D: 15% vol-target on [A]
2009-06-19,0.9233317185845019,3.7094569639401547,1.8720515118764973,2.1943838905087234,3.252851986592036,2.8804730478678966,2.625445390415403
2009-06-26,0.9213247128675451,3.771260818444101,1.9004053298129129,2.231515759792316,3.3060616834433185,2.92858143312588,2.6683920581086857
2009-07-03,0.9009606443303668,3.77013371930868,1.893474722974135,2.2317588655643363,3.3028580751638503,2.9279138239230273,2.6658063583520737
2009-07-10,0.8824017724389309,3.818507841794031,1.90987611816483,2.2639837334736077,3.3424806633263193,2.9663019114848486,2.697786584281895
2009-07-17,0.9442982099908336,3.76362588173818,1.9154617972945265,2.2275011160166076,3.305994251878259,2.922144819837138,2.6683376326714434
2009-07-24,0.9837231867434232,3.783480718246523,1.9312741125076391,2.2497461820094617,3.3254034403421646,2.9392293270485403,2.6840031977184573
2009-07-31,0.99124730852173,3.8275797013377284,1.953248927465664,2.2747725221513897,3.3639786808448613,2.9730993793847165,2.71513808727981
2009-08-07,1.0152239459101962,3.748694443607359,1.9205534001407851,2.24143342654154,3.297250130365718,2.9152200253191505,2.6612800679211994
2009-08-14,1.0111102731177057,3.820301908569817,1.951720065035492,2.2772692130406313,3.3583373605978686,2.969188444646869,2.710584858820792
2009-08-21,1.032979725440209,3.9291510639624643,1.9767871990169223,2.301998898416893,3.443505177470176,3.0433883776188257,2.779325598682555
2009-08-28,1.0370926730460983,3.9460896611296645,1.9889675273080283,2.3196519061617744,3.4596236968599867,3.0583460103979645,2.7923351953708555
2009-09-04,1.023850765714172,3.919518908017028,1.9806307405435066,2.315650424546017,3.438085936763379,3.0391379214463297,2.774951615300631
2009-09-11,1.0510371825961846,4.085801427828656,2.038236915922748,2.347675910050187,3.5747645446739917,3.1585895629949143,2.8852678001705323
2009-09-18,1.0756986033320461,4.198679956477804,2.0653765816414387,2.359506348364699,3.663284425397551,3.2367342399942785,2.9567140614095124
